Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,0.01,0.2162473131026153
75% Corpus,10,0.01,0.31,0.23014123728524938
75% Corpus,10,0.01,0.61,0.21202032618777178
75% Corpus,10,0.01,0.9099999999999999,0.21897951455822123
75% Corpus,10,0.01,symmetric,0.21707969946869862
75% Corpus,10,0.31,0.01,0.21625891963101282
75% Corpus,10,0.31,0.31,0.23010655056808066
75% Corpus,10,0.31,0.61,0.21308769939591068
75% Corpus,10,0.31,0.9099999999999999,0.21983502779818256
75% Corpus,10,0.31,symmetric,0.21439670734864094
75% Corpus,10,0.61,0.01,0.21840328898889086
75% Corpus,10,0.61,0.31,0.2282172662557543
75% Corpus,10,0.61,0.61,0.2568180198917327
75% Corpus,10,0.61,0.9099999999999999,0.3469862951017585
75% Corpus,10,0.61,symmetric,0.21449358550149694
75% Corpus,10,0.9099999999999999,0.01,0.2189329041815739
75% Corpus,10,0.9099999999999999,0.31,0.23061944036093843
75% Corpus,10,0.9099999999999999,0.61,0.36949955820329305
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.47438911313137827
75% Corpus,10,0.9099999999999999,symmetric,0.21487392139907313
75% Corpus,10,symmetric,0.01,0.2162473131026153
75% Corpus,10,symmetric,0.31,0.22864146029145022
75% Corpus,10,symmetric,0.61,0.21255223598136533
75% Corpus,10,symmetric,0.9099999999999999,0.21981676548054074
75% Corpus,10,symmetric,symmetric,0.21777673605044973
75% Corpus,10,asymmetric,0.01,0.2162473131026153
75% Corpus,10,asymmetric,0.31,0.2300413007964543
75% Corpus,10,asymmetric,0.61,0.21251500937616016
75% Corpus,10,asymmetric,0.9099999999999999,0.21947419774660962
75% Corpus,10,asymmetric,symmetric,0.21650736410582624
75% Corpus,11,0.01,0.01,0.21365887591840096
75% Corpus,11,0.01,0.31,0.2318479291670263
75% Corpus,11,0.01,0.61,0.21242160681714914
75% Corpus,11,0.01,0.9099999999999999,0.21540604976234887
75% Corpus,11,0.01,symmetric,0.21381377089468268
75% Corpus,11,0.31,0.01,0.21369687380607355
75% Corpus,11,0.31,0.31,0.23537324843078028
75% Corpus,11,0.31,0.61,0.21279336383985947
75% Corpus,11,0.31,0.9099999999999999,0.21714029556584566
75% Corpus,11,0.31,symmetric,0.21333179808279523
75% Corpus,11,0.61,0.01,0.21700859183404225
75% Corpus,11,0.61,0.31,0.2286435041079794
75% Corpus,11,0.61,0.61,0.2045286018611244
75% Corpus,11,0.61,0.9099999999999999,0.3636827501929302
75% Corpus,11,0.61,symmetric,0.21316319662806815
75% Corpus,11,0.9099999999999999,0.01,0.21734515737107252
75% Corpus,11,0.9099999999999999,0.31,0.2284347978377115
75% Corpus,11,0.9099999999999999,0.61,0.2071378732122013
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.48640965609525344
75% Corpus,11,0.9099999999999999,symmetric,0.21305173760348756
75% Corpus,11,symmetric,0.01,0.21301350408130618
75% Corpus,11,symmetric,0.31,0.2316957542288822
75% Corpus,11,symmetric,0.61,0.21242160681714914
75% Corpus,11,symmetric,0.9099999999999999,0.21578661588689532
75% Corpus,11,symmetric,symmetric,0.21381377089468268
75% Corpus,11,asymmetric,0.01,0.21365887591840096
75% Corpus,11,asymmetric,0.31,0.25494013114959446
75% Corpus,11,asymmetric,0.61,0.21242160681714914
75% Corpus,11,asymmetric,0.9099999999999999,0.21578661588689532
75% Corpus,11,asymmetric,symmetric,0.21381377089468268
75% Corpus,12,0.01,0.01,0.21380806540429145
75% Corpus,12,0.01,0.31,0.2207778373454151
75% Corpus,12,0.01,0.61,0.2135563698128359
75% Corpus,12,0.01,0.9099999999999999,0.21857202967855005
75% Corpus,12,0.01,symmetric,0.21282302774906245
75% Corpus,12,0.31,0.01,0.21450895942816353
75% Corpus,12,0.31,0.31,0.22127238137615046
75% Corpus,12,0.31,0.61,0.21361225585302915
75% Corpus,12,0.31,0.9099999999999999,0.21728412002008715
75% Corpus,12,0.31,symmetric,0.21417444740567318
75% Corpus,12,0.61,0.01,0.21403208973255172
75% Corpus,12,0.61,0.31,0.22122258279650453
75% Corpus,12,0.61,0.61,0.21299502589778208
75% Corpus,12,0.61,0.9099999999999999,0.40412933671859924
75% Corpus,12,0.61,symmetric,0.21862705004073502
75% Corpus,12,0.9099999999999999,0.01,0.21401953269064553
75% Corpus,12,0.9099999999999999,0.31,0.2179962692575773
75% Corpus,12,0.9099999999999999,0.61,0.4144520756821726
